value,name
65,Księgarska - Dekarska - Zduńska
66,Kurkowa - Dubois
67,Legnicka (Park Magnolia)
68,Legnicka - Młodych Techników
69,Legnicka - Wejherowska
70,Legnicka - Zachodnia
71,Leśnica - pętla tramwajowa
72,Lotnicza - Bajana
73,Lotnicza - Metalowców
74,Lotnicza - Na Ostatnim Groszu
75,Marca Polo (Olimpia Port)
76,Maślicka - Stodolna
77,Mickiewicza - pętla tramwajowa
78,Miłoszycka - Swojczycka
79,Mińska - stanisławowska
80,Mościckiego (stacja kolejowa)
81,Mościckiego - Chińska
82,Mrągowska - Rolna
83,Młodych Techników
84,Młynarska-Wąska
85,Na Grobli (PWr - Geocentrum)
86,Na Ostatnim Groszu
87,Norwida - Wyspiańskiego (PWr)
88,Nowowiejska - Górnickiego
89,Nowowiejska - Jedności Narodowej
90,Nowowiejska - Wyszyńskiego
91,Nyska - Jesionowa
92,Nyska - Piękna
93,Obornicka - Bałtycka
94,Okulickiego
95,Olszewskiego - Spółdzielcza
96,Olszewskiego - pętla tramwajowa
97,Opolska - Siemianowicka
98,Opolska - pętla tramwajowa
99,Oporów (pętla tramwajowa)
100,Osobowicka - Ostrowska
101,Osobowicka - pętla tramwajowa
102,Paprotna - Obornicka - zajezdnia MPK
103,Partyzantów - Okrzei
104,Pereca - Grabiszyńska
105,Piaskowa - św. Ducha
106,Pilczycka (Stadion Miejski)
107,Pilczycka - Koszykarska
108,Pilczycka - Kozanowska
109,Plac Dominikański (Galeria Dominikańska)
110,Plac Grunwaldzki (DS Ołówek)
111,Plac Grunwaldzki - Polaka
112,Plac Jana Pawła II (Akademia Muzyczna)
113,Plac Kościuszki (Renoma)
114,Plac Legionów
115,Plac Powstańców Warszawy (Muzeum Narodowe)
116,Plac Powstańców Śląskich
117,Plac Staszica
118,Plac Strzegomski - Poznańska
119,Plac Uniwersytecki (UWr)
120,Plac Świętego Macieja - Trzebnicka
121,Poleska - Litewska
122,Poniatowskiego - Oleśnicka
123,Popowice
124,Popowicka
125,Popowicka - Niedźwiedzia
126,Powstańcow Śląskich - Aleja Hallera
127,Powstańców Śląskich (Arkady Wrocławskie)
128,Prochowicka - Dolnobrzeska
129,Promenady Wrocławskie
130,Przyjaźni
131,Przyjaźni - Karkonoska
132,Racławicka - Rymarska
133,Radeckiego - Marcinkowskiego (Uniw. Medyczny - CNIM)
134,Reymonta - Kleczkowska
135,Robotnicza - Fabryczna
136,Rogowska - Zemska
137,Rondo Reagana
138,Rynek
139,Semaforowa
140,Sienkiewicza - Piastowska
141,Sienkiewicza - Wyszyńskiego
142,Skarbowców - Wietrzna
143,Solskiego - al. Piastów
144,Sołtysowicka - Redycka
145,Stabłowicka
146,Stabłowicka - Główna
147,Stacyjna (Dworzec Mikołajów)
148,Stadion Olimpijski
149,Strachocińska - Wieśniacza
150,Strachowskiego - Parafialna
151,Strzegomska - Estońska
152,Strzegomska - Rogowska
153,Szczęśliwa (Sky Tower)
154,Szewska - Kazimierza Wielkiego
155,Tarnogajska - Klimasa
156,Traktatowa (przystanek kolejowy)
157,Traugutta - Kościuszki
158,Traugutta - Pułaskiego
159,Trymanda - Mińska
160,Tyrmanda - Trawowa
161,Waniliowa - Cynamonowa
162,Wałbrzyska - pętla tramwajowa
163,Wilanowska
164,Wita Stwosza - Szewska
165,Wojanowska - Arbuzowa
166,Wrocław Leśnica - stacja kolejowa
167,Wrocław Stadion - stacja kolejowa
168,Wróblewskiego (Teki)
169,Wróblewskiego (ZOO)
170,Wyszyńskiego - Szczytnicka
171,Zachodnia - Poznańska
172,Zaporoska - Gajowicka
173,Zaporoska - Grabiszyńska
174,Zaporoska - Wielka - Krucza
175,Zatorska - Królewska - pętla MPK
176,Zwycięska - Agrestowa
177,Zwycięska - Ołtaszyńska
178,al. Armii Krajowej - Bardzka
179,al. Armii Krajowej - Borowska
180,al. Armii Krajowej - Tarnogajska
181,al. Brücknera - Kwidzyńska
182,al. Jana III Sobieskiego - stacja kolejowa
183,al. Karkonoska - Jeździecka
184,al. Kochanowskiego - Kopernika
185,al. Kochanowskiego - Śniadeckich
186,al. Poprzeczna - stacja kolejowa
187,pl. Orląt Lwowskich
188,pl. Powstańców Wielkopolskich
189,Łukasiewicza - Smoluchowskiego (PWr)
190,Ślężna - Aleja Wiśniowa
191,Ślężna - Kamienna (Uniw. Ekonomiczny)
192,Ślężna - Skierniewicka
193,Ślężna - pętla tramwajowa
194,Średzka - Dolnobrzeska
195,Śrubowa - Strzegomska
196,Świdnicka - Piłsudskiego (Hotel Scandic)
197,Świeradowska (Ferio Gaj )
198,Świeradowska - Krynicka
199,Żelazna - Pereca
200,Żernicka
201,Żeromskiego - Daszyńskiego
202,Żeromskiego - Kluczborska
203,Żmigrodzka - Broniewskiego
204,Żmigrodzka - Marino
