name,value
Kamieńskiego / Jutrosińska,81
Aleja Bielany,82
Plac Świętego Macieja / Trzebnicka,83
Żeromskiego / Daszyńskiego,84
Pereca / Grabiszyńska,85
Zaporoska / Gajowicka,86
al. Jana III Sobieskiego / stacja kolejowa,87
Kurkowa / Dubois,88
Pilczycka (Stadion Miejski),89
Marca Polo (Olimpia Port),90
Plac Grunwaldzki (DS Ołówek),91
"Dworzec Główny, południe",92
Żelazna / Pereca,93
Lotnicza / Na Ostatnim Groszu,94
Borowska (Uniw. Szpital Kliniczny),95
Nyska / Jesionowa,96
Plac Strzegomski / Poznańska,97
Gorlicka / Litewska,98
Młodych Techników,99
Zwycięska / Agrestowa,100
Zaporoska / Wielka / Krucza,101
al. Poprzeczna / stacja kolejowa,102
Sołtysowicka / Redycka,103
Prochowicka / Dolnobrzeska,104
Hubska / Prudnicka,105
Plac Jana Pawła II (Akademia Muzyczna),106
Klecińska / Duńska,107
Fabryczna / Wagonowa,108
Czekoladowa / Wałbrzyska,109
"Grochowa / Jemiołowa,",110
Maślicka / Stodolna,111
Kołłątaja / Podwale,112
Stacyjna (Dworzec Mikołajów),113
Grabiszyńska / Magazynierska (Corte Verona),114
Skarbowców / Wietrzna,115
Krakowska / Leroy Merlin,116
pl. Powstańców Wielkopolskich,117
Solskiego / al. Piastów,118
Traktatowa (przystanek kolejowy),119
Wojanowska / Arbuzowa ,120
Opolska / pętla tramwajowa,121
Grota-Roweckiego / Parafialna,122
Żeromskiego / Kluczborska,123
Tyrmanda / Trawowa,124
Śrubowa / Strzegomska,125
Łukasiewicza / Smoluchowskiego (PWr),126
Bystrzycka / Idzikowskiego,127
Robotnicza / Fabryczna,128
Przyjaźni / Karkonoska,129
Mrągowska / Rolna,130
Popowicka ,131
Zatorska / Królewska - pętla MPK,132
Strachowskiego / Parafialna,133
Osobowicka - pętla tramwajowa,134
Świeradowska / Krynicka,135
Opolska / Siemianowicka,136
Dyrekcyjna / Borowska (Wroclavia),137
Na Ostatnim Groszu,138
Pilczycka / Kozanowska,139
Krzywoustego - Rynek Psie Pole,140
Kasprowicza / Syrokomli,141
Sienkiewicza / Piastowska,142
Żernicka,143
Hermanowska / Kołobrzeska,144
Trymanda / Mińska,145
Krzywoustego / Korona,146
Jagodzińska / Buforowa,147
Oporów (pętla tramwajowa),148
Koszarowa / UWr,149
Lotnicza / Bajana,150
Przyjaźni,151
Zwycięska / Ołtaszyńska,152
Świdnicka / Piłsudskiego (Hotel Scandic),153
Wałbrzyska - pętla tramwajowa,154
Popowicka / Niedźwiedzia ,155
Buforowa - Vivaldiego,156
Mińska / stanisławowska,157
Joliot-Curie (Uwr),158
Plac Staszica,159
Okulickiego,160
Strzegomska / Rogowska ,161
Rogowska / Zemska,162
Plac Uniwersytecki (UWr),163
Graniczna / Strzegomska,164
Janiszewskiego (PWr),165
Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),166
Semaforowa,167
Piaskowa / św. Ducha,168
Plac Powstańców Warszawy (Muzeum Narodowe),169
Waniliowa / Cynamonowa,170
al. Armii Krajowej / Tarnogajska,171
Konduktorska,172
Tarnogajska / Klimasa,173
Partyzantów / Okrzei,174
Bałtycka / Żmigrodzka,175
Kozanowska / Pilczycka,176
Karwińska / Opolska,177
Norwida / Wyspiańskiego (PWr),178
Kosmonautów / Glinianki / WUWA2,179
Wilanowska,180
Średzka / Dolnobrzeska ,181
Kiełczowska,182
Poleska / Litewska,183
Leśnica - pętla tramwajowa,184
"Kosmonautów / Fieldorfa, szpital wojewódzki",185
Osobowicka / Ostrowska,186
Ślężna / pętla tramwajowa,187
al. Kochanowskiego / Śniadeckich ,188
Bacciarellego / pętla autobusowa,189
Fabryczna  (WSB),190
Bacciarellego,191
Centrum Handlowe Auchan Bielany,192
Stabłowicka ,193
"Wrocław Leśnica, stacja kolejowa",194
"Wrocław Stadion, stacja kolejowa",195
Mościckiego (stacja kolejowa),196
Stadion Olimpijski,197
Stabłowicka / Główna ,198
Miłoszycka / Swojczycka ,199
Mościckiego / Chińska ,200
Strachocińska / Wieśniacza,201
Księgarska / Dekarska / Zduńska,202
Jerzmanowska,203
